Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1951	flare	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REDUNDANCY_NOISE	Remove L3 skin-redness branch from default Core and remove the duplicate flare-up Construction already owned by the active Sense.
o1952	flash	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1953	flat	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1954	flatter	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1955	flavor	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Move already-owned flavor/flavour regional spelling truth from repeated Sense overlays into one Form/Identity owner.
o1956	flaw	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1957	flee	UPGRADED	DEPTH_REVIEWED	YES	NONE	CORRECTNESS_GAP; REGISTER_FORM_GAP	Current collocations already show both flee from + sth and flee + place/country, so normalize the Sense to I/T structure. Add flee→fled→fled only after Human Gate.
o1958	fleet	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1959	flesh	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Restore L1 flesh=肉/软组织 from sort_order=999 ahead of L2/L3 branches and keep the L3 skinning verb out of default Core.
o1960	flexible	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1961	flight	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Keep flight/escape and useful flight-of-stairs/formation branches; remove L3 migration noun/verb from default Core and move the L2 stairs branch ahead of L3 material.
o1962	fling	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add fling→flung→flung after Human Gate.
o1963	float	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep physical float Core; move L3 stock-float noun out of default Core while preserving it active.
o1964	flock	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put both L1 flock noun and L1 flock verb ahead of the L2 group-of-people noun.
o1965	flood	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1966	floor	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep floor/level/lower-limit noun Core; remove L3 floor=cover with flooring / knock down verbs from default Core.
o1967	flour	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Restore L1 flour noun from 999 to first priority; keep lower-value dust/grind verbs outside default Core.
o1968	flourish	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1969	flow	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep noun/intransitive flow Core; remove L3 transitive make-flow/flood branch from default Core.
o1970	flower	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1971	fluctuate	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP	Restore sole L1 fluctuate from 999 and correct it from transitive to intransitive fluctuation structure.
o1972	fluent	UPGRADED	DEPTH_REVIEWED	NO	NONE	STRUCTURE_GAP	Resolve duplicate sort_order=0: L1 language fluency stays first; L2 smooth/fluent movement becomes the next branch.
o1973	fluid	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP	Restore L1 adjective from 999, distinguish physical 'fluid/flowing' adjective from L2 figurative variable/not-fixed branch, and order noun→L1 adjective→L2 figurative adjective.
