Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1851	fall	UPGRADED	DEPTH_REVIEWED	YES	NONE	DECISION_GAP; REDUNDANCY_NOISE; REGISTER_FORM_GAP	Promote the existing L1 noun 'a fall = a decrease' from late order into learner priority/Core; remove duplicate Secondary for fall-into-state; keep low-value L3 fall-of-man/waterfall outside default Core. New fall→fell→fallen Form is Human-Gated.
o1852	false	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1853	fame	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1854	familiar	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1855	family	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1856	famine	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1857	famous	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1858	fan	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1859	fancy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1860	fantastic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1861	fantasy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1862	far	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1863	fare	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1864	farewell	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1865	farm	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1866	farmer	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1867	farther	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1868	fascinate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1869	fashion	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1870	fashionable	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1871	fast	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1872	fasten	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; STRUCTURE_GAP	Current sole Sense is I/T but governing pattern is transitive-only. Expose both fastening something and something fastening/being fastened.
o1873	fat	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1874	fatal	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put common L1 fatal=deadly/disastrous ahead of the L3 fate-determined branch.
o1875	fate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1876	father	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1877	fatigue	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1878	fault	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put L1 fault=blame/responsibility ahead of L2 defect/malfunction while preserving both.
o1879	faulty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1880	favor	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REDUNDANCY_NOISE; REGISTER_FORM_GAP	Move already-owned favor/favour spelling truth from Sense overlays to Form; remove Secondary projection duplicating active favor-verb truth.
o1881	favorable	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Move already-owned favorable/favourable spelling truth from repeated Sense overlays into Form.
o1882	favorite	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Move already-owned favorite/favourite spelling truth from repeated Sense overlays into Form.
o1883	fax	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1884	fear	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1885	fearful	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1886	feasible	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1887	feast	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1888	feat	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1889	feather	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1890	feature	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE	Remove Secondary projection duplicating the active feature=highlight/include Sense; preserve active phraseology and Senses.
o1891	February	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1892	federal	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Normalize sole L1 federal Sense from sort_order=999 to ordinary learner priority.
o1893	federation	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1894	fee	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1895	feeble	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1896	feed	UPGRADED	DEPTH_REVIEWED	YES	NONE	CORRECTNESS_GAP; REDUNDANCY_NOISE; REGISTER_FORM_GAP	Correct existing 'feed into' flow Sense from transitive to intransitive and move its syntax into the Sense instead of duplicate Construction. New feed→fed→fed Form is Human-Gated.
o1897	feedback	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1898	feel	UPGRADED	DEPTH_REVIEWED	YES	NONE	CORRECTNESS_GAP; STRUCTURE_GAP; REGISTER_FORM_GAP	Correct emotional/state feel from transitive-only metadata to linking/state syntax consistent with existing 'feel happy/feel like doing' truth. New feel→felt→felt Form is Human-Gated.
o1899	feeling	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REDUNDANCY_NOISE	Remove L3 adjective 'feeling=sympathetic' from default Core and normalize the already-existing feel↔feeling derivational family metadata.
o1900	fellow	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
