Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1751	exceed	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1752	exceedingly	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1753	excel	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1754	excellent	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1755	except	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Remove the L3 verb 'except/exclude' from default Core ownership while preserving it active; Core remains the high-value preposition/conjunction boundary.
o1756	exception	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE	Remove the take-exception Construction because the active objection Sense already owns the same phraseology.
o1757	exceptional	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1758	excerpt	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate already-owned noun-initial vs verb-final stress truth from repeated Sense overlays into one Form owner.
o1759	excess	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1760	excessive	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1761	exchange	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1762	excite	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1763	excitement	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1764	exciting	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1765	exclaim	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE	Remove Construction duplicating active exclaim that-clause / at syntax.
o1766	exclude	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1767	exclusive	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Remove L3 noun exclusive-news/story from default Core ownership while preserving it active.
o1768	excursion	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1769	excuse	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; OWNERSHIP_GAP; REGISTER_FORM_GAP	Normalize all L1 branches ahead of L2 release-excuse; migrate existing noun /s/ vs verb /z/ truth from overlays into Form.
o1770	execute	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1771	executive	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1772	exemplify	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1773	exempt	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1774	exercise	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REDUNDANCY_NOISE	Place all L1 exercise branches before L2 branches and remove Secondary projections duplicating active exercise-use Senses.
