Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1351	devil	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REDUNDANCY_NOISE	Move `a devil of a problem/time/job` out of the evil-person Sense into word-owned phraseology/Construction; align Core with active devil/person branches rather than deprecated torment material.
o1352	devise	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Restore ordinary devise=think out/invent a plan or method to normal L1 priority and keep the legal devise-by-will branch low; Core must not rank the legal branch equally.
o1353	devote	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1354	dew	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1355	diabetes	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1356	diagnose	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1357	diagram	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1358	dial	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put L1 verb `dial a number` ahead of the lower-value legacy telephone-dial noun branch while preserving clock/control dial senses.
o1359	dialect	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1360	dialog	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP; PRODUCTIVE_VALUE_GAP	Add `dialogue` as the same-lexeme spelling variant of current Main Word `dialog`; no new Sense or Main Word.
o1361	diameter	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1362	diamond	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1363	diary	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1364	dictate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1365	dictation	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1366	dictionary	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1367	die	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1368	diet	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; REGISTER_FORM_GAP	Correct the legislature branch to the capitalized institutional use `the Diet` (e.g. Japan); preserve it as low-value L3 material.
o1369	differ	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE; OWNERSHIP_GAP	Remove the fake Construction that only repeats `differ from`, already owned by Sense syntax/collocation; keep the useful differ→different family.
o1370	difference	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1371	different	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1372	differentiate	UPGRADED	DEPTH_REVIEWED	NO	NONE	STRUCTURE_GAP	Normalize the main differentiate branch to support both `differentiate A from B` and `differentiate between A and B`; preserve become-different `from` branch separately.
o1373	difficult	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1374	difficulty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1375	diffuse	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add POS-conditioned pronunciation: verb /dɪˈfjuːz/ vs adjective /dɪˈfjuːs/.
