Ordinal	Word	Operation	Quality	core	senses	familiar_new	construction	phraseology	decision_boundary	relation_confusable	register_stance	family_morphology	form_identity	productive_use	repair_test	TestAction	Reasons	Rationale
o0901	column	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0902	comb	UPGRADED	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP	OWNERSHIP_GAP	Fresh read + Self Attack found a final-standard allowed gap; see proposal.
o0903	combat	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0904	combination	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0905	combine	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0906	come	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	UPGRADED	UPGRADED	REMOVE		Content preserved; old Test removed under exact-diagnostic-value rule.
o0907	comedy	UPGRADED	DEPTH_READY	UPGRADED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	CORRECTNESS_GAP	Fresh read + Self Attack found a final-standard allowed gap; see proposal.
o0908	comet	NO_CHANGE	SAFE_SIMPLE	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0909	comfort	UPGRADED	DEPTH_READY	PRESERVE	PRESERVE	UPGRADED	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE	PHRASEOLOGY_GAP; PRODUCTIVE_VALUE_GAP	Fresh read + Self Attack found a final-standard allowed gap; see proposal.
o0910	comic	NO_CHANGE	DEPTH_READY	PRESERVE	PRESERVE	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NONE		Fresh read + Self Attack found no allowed-gap Content mutation.
o0911	command	NO_CHANGE	DEPTH_READY	UPGRADED	PRESERVE	NOT_NEEDED	UPGRADED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	NOT_NEEDED	PRESERVE	KEEP		Fresh read + Self Attack found no allowed-gap Content mutation.
