Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o2051	friend	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2052	friendly	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2053	friendship	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2054	fright	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Restore the sole L1 fright noun from sort_order=999 to normal learner priority.
o2055	frighten	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2056	fringe	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep fringe noun branches as Core; promote the useful fringe-adjective branch from L3 to Expansion/L2 while keeping the low-value adorn-with-fringe verb outside default Core.
o2057	frog	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; REGISTER_FORM_GAP	Keep frog animal as default Core; move the derogatory French-person branch and L3 frog-hunting verb outside default Core while preserving the derogatory branch's existing warning.
o2058	from	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2059	front	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2060	frontier	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2061	frost	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP	Remove unsupported Robert Frost text from Core, which has no active Sense owner, and keep the L3 intransitive frost branch outside default Core.
o2062	frown	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2063	fruit	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2064	fruitful	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2065	frustrate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2066	fry	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep ordinary fry verb as Core; remove the L3 young-fish noun from default Core while preserving it active.
o2067	fuel	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; STRUCTURE_GAP	Correct the existing figurative fuel= intensify/encourage branch to explicit transitive syntax and represent that high-value L2 branch in learner Core without deleting the distinct add-fuel-to-the-fire Construction.
o2068	fulfil	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Move the already-owned fulfil/fulfill BrE/AmE spelling truth from Sense overlay into Form/Identity. No new Word owner exists for fulfill.
o2069	full	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP; STRUCTURE_GAP	Bring the existing L1 full=satiated branch into the L1 block and Core ahead of the L2 adverb; preserve useful in-full Construction.
o2070	fume	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Keep anger/smoke/noun-fumes as default Core; move the L3 transitive fumigate/smoke verb outside default Core.
o2071	fun	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o2072	function	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Move the existing L1 function verb into the L1 block ahead of the L2 duty/responsibility noun.
