Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1251	declaration	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1252	declare	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1253	decline	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1254	decorate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1255	decrease	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate existing noun/verb stress truth from semantic Relation to Form/Identity; retire redundant same-word Relation.
o1256	decree	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1257	dedicate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1258	deduce	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1259	deduct	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1260	deed	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1261	deem	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1262	deep	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1263	deer	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP; PRODUCTIVE_VALUE_GAP	Add invariant number identity deer → deer (singular/plural).
o1264	default	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1265	defeat	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1266	defect	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate existing noun/verb stress truth from semantic Relation to Form/Identity; retire redundant same-word Relation.
o1267	defend	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1268	defense	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP; PRODUCTIVE_VALUE_GAP	Add regional spelling identity AmE defense / BrE defence; defence remains a surface variant, not a new Main Word.
o1269	defer	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1270	deficiency	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1271	deficit	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1272	define	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1273	definite	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1274	definition	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1275	defy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1276	degenerate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1277	degree	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1278	delay	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
