Ordinal	Word	Operation	Quality	NewMaterial	TestAction	Reasons	Rationale
o1551	earthquake	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1552	ease	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1553	east	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1554	Easter	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1555	eastern	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Remove L3 noun 'Eastern person/Orthodox Christian' from default Core ownership; keep it active low-priority while Core stays directional/geographic.
o1556	easy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1557	eat	UPGRADED	DEPTH_REVIEWED	YES	NONE	REGISTER_FORM_GAP	Add irregular Form eat→ate→eaten. No Sense/Test change.
o1558	ebb	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1559	eccentric	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1560	echo	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1561	eclipse	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Normalize learner order so all current L1 eclipse branches precede the L2 abstract-noun branch; preserve all meanings.
o1562	ecology	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1563	economic	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE	Keep the richer economic↔economical semantic contrast; remove weaker duplicate horizontal projection and redundant pseudo-family link.
o1564	economical	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1565	economics	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1566	economy	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1567	edge	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1568	edible	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1569	edit	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1570	edition	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1571	editor	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1572	editorial	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1573	educate	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1574	education	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1575	effect	UPGRADED	DEPTH_REVIEWED	NO	NONE	REDUNDANCY_NOISE; STRUCTURE_GAP	Remove duplicate active verb Secondary projection, repair duplicate Core sense ownership, and stop the L3 side-effect branch from consuming default Core attention while preserving both high-value Relations.
o1576	effective	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Restore sole L1 effective sense from sort_order=999; preserve effective-from-date Construction and effective↔efficient Relation.
o1577	efficiency	UPGRADED	DEPTH_REVIEWED	NO	NONE	DECISION_GAP	Put ordinary L1 efficiency/no-waste branch ahead of narrower L2 input-output-ratio branch.
o1578	efficient	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1579	effort	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1580	egg	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1581	ego	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1582	eight	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1583	eighteen	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1584	eighty	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1585	either	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1586	eject	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
o1587	elaborate	UPGRADED	DEPTH_REVIEWED	NO	NONE	OWNERSHIP_GAP; REGISTER_FORM_GAP	Migrate already-owned adjective /-rət/ vs verb /-reɪt/ pronunciation truth from repeated Sense overlays + fake same-word Relation into one Form owner.
o1588	elapse	UPGRADED	DEPTH_REVIEWED	NO	NONE	CORRECTNESS_GAP; DECISION_GAP	Restore sole L1 elapse from 999 and correct it to intransitive time-elapses structure.
o1589	elastic	NO_CHANGE	FINAL_REVIEWED	NO	NONE		Fresh Read + Self Attack found no allowed-gap mutation under the unchanged final ruler.
